region,variety,process,moisture,elevation,target
huila,Typica,Washed / Wet,0.1200,low,fair
huila supremo,Caturra,Washed / Wet,0.0000,high,good
la plata,Caturra,Washed / Wet,0.1100,high,good
la plata,Caturra,Washed / Wet,0.1200,high,good
nariño,Caturra,Natural / Dry,0.1100,high,good
nariño,Caturra,Washed / Wet,0.0000,high,good
pasto,Caturra,Natural / Dry,0.0000,high,great
pereira,Caturra,Washed / Wet,0.0000,mid,poor
pitalito,Caturra,Natural / Dry,0.0000,low,good
pitalito,Caturra,Natural / Dry,0.1100,low,good
pitalito,Caturra,Natural / Dry,0.1100,low,good
pitalito,Caturra,Natural / Dry,0.0000,low,good
santander,Caturra,Natural / Dry,0.1200,mid,great
santander,Caturra,Natural / Dry,0.1200,mid,fair
santander,Caturra,Natural / Dry,0.1200,mid,great
santander,Caturra,Natural / Dry,0.0000,mid,fair
santander,Caturra,Washed / Wet,0.1200,mid,good
santander,Caturra,Washed / Wet,0.0000,mid,good
santander,Caturra,Washed / Wet,0.1100,high,good
santander,Caturra,Washed / Wet,0.1100,mid,great
santander,Caturra,Washed / Wet,0.0000,mid,great
santander,Caturra,Washed / Wet,0.0000,mid,good
santander,Other,Washed / Wet,0.0000,mid,good
santander,Typica,Natural / Dry,0.0000,high,fair
south huila,Caturra,Washed / Wet,0.0000,high,good
tolima,Caturra,Washed / Wet,0.1200,mid,great
brunca,Catuai,Washed / Wet,0.1000,low,fair
central valley,Catuai,Washed / Wet,0.1100,mid,fair
central valley,Catuai,Washed / Wet,0.1000,mid,poor
central valley,Catuai,Washed / Wet,0.1100,mid,poor
central valley,Catuai,Washed / Wet,0.1000,mid,fair
central valley,Catuai,Washed / Wet,0.1100,mid,good
central valley,Catuai,Washed / Wet,0.1000,mid,poor
central valley,Catuai,Washed / Wet,0.1100,mid,good
naranjo,Caturra,Washed / Wet,0.1300,mid,poor
occidental,Caturra,Washed / Wet,0.1200,mid,poor
occidental,Caturra,Washed / Wet,0.1200,mid,poor
occidental,Caturra,Washed / Wet,0.1100,mid,poor
san ramon,Caturra,Washed / Wet,0.1100,mid,poor
san ramon,Caturra,Washed / Wet,0.1100,mid,great
san ramon,Caturra,Washed / Wet,0.1000,mid,good
san ramon,Caturra,Washed / Wet,0.1200,mid,good
tarrazu,Catuai,Pulped natural / honey,0.1100,high,fair
tarrazu,Catuai,Pulped natural / honey,0.0000,high,poor
tarrazu,Catuai,Washed / Wet,0.0000,mid,poor
tarrazu,Catuai,Washed / Wet,0.1200,high,great
tarrazu,Catuai,Washed / Wet,0.1000,mid,good
tarrazu,Caturra,Washed / Wet,0.1200,high,great
tarrazu,Caturra,Washed / Wet,0.1100,high,great
tarrazu,Caturra,Washed / Wet,0.1000,mid,great
